t	b(t)
50	1.1694499999999999
100	1.17825
150	1.2484000000000002
200	1.3844500000000002
250	1.41925
300	1.4176
350	1.44005
400	1.4728
450	1.5424
500	1.6136
550	1.7048
600	1.77125
650	1.83175
700	1.86005
750	1.9552
800	2.04355
850	2.0695
900	2.1366
950	2.1408
1000	2.22555
1050	2.2909
1100	2.33625
1150	2.36945
1200	2.4328000000000003
1250	2.5024499999999996
1300	2.53585
1350	1.5435999999999999
1400	1.5658500000000002
1450	1.5788000000000002
1500	1.5927
1550	1.594
1600	1.3376
1650	1.3618
1700	1.3797000000000001
1750	1.3973
1800	1.4213
1850	1.42645
1900	1.43535
1950	1.43715
2000	1.4395
2050	1.4497499999999999
2100	1.4662
2150	1.25325
2200	1.26725
2250	1.26085
2300	1.26955
2350	1.2818999999999998
2400	1.3031
2450	1.3111000000000002
2500	1.3325500000000001
2550	1.3467
2600	1.3584
2650	1.35215
2700	1.3668
2750	1.3612
2800	1.3878
2850	1.39495
2900	1.3973
2950	1.4222000000000001
3000	1.42965
3050	1.4368
3100	1.2262
3150	1.23255
3200	1.2379
3250	1.23885
3300	1.23005
3350	1.23625
3400	1.2426000000000001
3450	1.23875
3500	1.2497500000000001
3550	1.25575
3600	1.2581
3650	1.2786
3700	1.2845
3750	1.28305
3800	1.2942
3850	1.29945
3900	1.3052000000000001
3950	1.3123500000000001
4000	1.3198
4050	1.33085
4100	1.1567500000000002
4150	1.158
4200	1.1553
4250	1.1685999999999999
4300	1.17775
4350	1.03955
4400	1.04335
4450	1.04455
4500	1.04875
4550	1.0495999999999999
4600	1.05405
4650	1.0588
4700	1.0564500000000001
4750	1.06105
4800	1.0617
4850	0.948
4900	0.9576
4950	0.9522
5000	0.95255
5050	0.9620000000000001
5100	0.9656499999999999
5150	0.96615
5200	0.9694999999999999
5250	0.9792
5300	0.9857
5350	0.9858
5400	0.9953000000000001
5450	0.9955
5500	0.9994500000000001
5550	0.99975
5600	1.00035
5650	1.0070000000000001
