t	s(t)
50	56.0375
100	78.525
150	97.8625
200	116.1
250	132.725
300	148.4
350	163.4625
400	177.2875
450	190.2875
500	203.35
550	216.475
600	228.4125
650	241.65
700	254.0
750	265.725
800	277.95
850	289.1625
900	299.65
950	309.95
1000	319.9125
1050	330.2
1100	340.1875
1150	350.4
1200	360.75
1250	370.5875
1300	380.1625
1350	389.575
1400	397.825
1450	406.025
1500	414.8625
1550	423.425
1600	432.0
1650	440.5375
1700	447.9875
1750	456.3375
1800	464.85
1850	473.45
1900	481.3125
1950	489.3125
2000	497.8125
2050	505.4625
2100	513.775
2150	521.6875
2200	529.7625
2250	536.7375
2300	544.55
2350	552.775
2400	560.675
2450	568.2
2500	575.325
2550	582.0125
2600	589.1
2650	596.9125
2700	604.475
2750	611.6375
2800	619.95
2850	626.55
2900	633.5
2950	640.4
3000	646.85
3050	653.725
3100	660.6875
3150	667.5
3200	674.5125
3250	681.75
3300	687.875
3350	693.925
3400	700.1875
3450	706.8125
3500	713.325
3550	719.1875
3600	726.3375
3650	732.2375
3700	738.2
3750	744.6875
3800	751.05
3850	757.3125
3900	763.4
3950	769.975
4000	775.775
4050	781.925
4100	788.6
4150	794.5875
4200	801.6125
4250	807.4
4300	813.575
4350	820.225
4400	826.05
4450	832.7125
4500	839.0125
4550	845.3
4600	850.975
4650	857.0125
4700	862.5125
4750	867.8
4800	873.8125
4850	879.325
4900	885.0375
4950	890.0
5000	895.425
5050	901.5375
5100	906.3875
5150	911.975
5200	916.775
5250	922.775
5300	928.825
5350	934.0
5400	940.025
5450	945.4625
5500	951.3375
5550	957.5125
5600	962.8375
5650	968.525
5700	974.0
5750	979.7625
5800	985.475
5850	990.7625
5900	996.4375
5950	1001.6125
6000	1006.375
6050	1011.7375
6100	1016.7
6150	1021.675
6200	1026.9125
6250	1031.8
6300	1036.7375
6350	1042.1125
6400	1047.65
6450	1052.675
6500	1057.625
6550	1063.05
6600	1068.3625
6650	1073.2
6700	1078.3
6750	1083.575
6800	1088.9
6850	1093.6625
6900	1099.075
6950	1104.475
7000	1108.8875
7050	1114.0375
7100	1118.9625
7150	1123.475
7200	1128.0
7250	1132.6625
7300	1137.7375
7350	1142.225
7400	1147.35
7450	1153.0125
7500	1157.9625
7550	1162.275
7600	1167.6875
7650	1171.7625
7700	1177.125
7750	1181.5375
7800	1186.1625
7850	1190.975
7900	1195.575
7950	1200.6875
8000	1205.3625
8050	1210.3
8100	1215.3375
8150	1220.825
8200	1226.1125
8250	1231.125
8300	1235.2875
8350	1240.725
8400	1245.675
8450	1249.85
8500	1254.325
8550	1258.975
8600	1263.2625
8650	1267.75
8700	1271.9875
8750	1276.2125
8800	1280.925
8850	1286.0875
8900	1291.0125
8950	1295.6125
9000	1300.1
9050	1304.4625
9100	1308.8875
9150	1313.7875
9200	1318.05
9250	1322.1
9300	1326.825
9350	1331.45
9400	1335.4125
9450	1340.05
9500	1344.4875
9550	1348.725
9600	1353.3
9650	1357.925
9700	1362.375
9750	1366.425
9800	1371.025
9850	1375.5375
9900	1379.7375
9950	1384.3375
