t	a(t)
50	24.92838834951456
100	30.313187378640773
150	35.5240077669903
200	39.825611650485435
250	44.065753398058256
300	47.62366601941749
350	52.459988349514596
400	56.18496796116505
450	59.34363106796114
500	63.301337864077645
550	65.92869805825242
600	69.87855339805826
650	72.77189805825242
700	76.4803485436893
750	80.47432427184465
800	83.9982126213592
850	87.03496213592234
900	90.43349126213593
950	93.38677766990288
1000	97.07980388349517
1050	100.49641359223305
1100	103.07787864077672
1150	106.58010194174761
1200	109.62677378640778
1250	112.52668155339808
1300	114.75920485436892
1350	117.6413300970874
1400	120.46596504854368
1450	123.74582621359225
1500	127.04425728155341
1550	130.27065339805824
1600	133.34484854368932
1650	136.50554757281554
1700	139.0734155339806
1750	142.16368446601948
1800	145.20514271844658
1850	148.30319417475732
1900	151.16856699029125
1950	153.6925349514563
2000	156.79516893203882
2050	159.13813009708733
2100	162.21569999999994
2150	164.57500582524267
2200	167.08544854368932
2250	168.9395533980582
2300	171.86303398058251
2350	174.53836407766988
2400	177.33586116504856
2450	179.57618834951452
2500	182.53087766990285
2550	185.12196116504856
2600	187.8107728155341
2650	190.47760776699025
2700	193.7451524271845
2750	196.54472718446604
2800	199.29774077669893
2850	201.74326990291263
2900	204.2715135922329
2950	206.50820582524267
3000	208.99698058252426
3050	211.5999330097088
3100	214.30375728155343
3150	216.44523300970874
3200	219.33757281553392
3250	222.24321067961165
3300	224.89387475728157
3350	227.74160097087375
3400	230.3792961165051
3450	233.46183398058247
3500	235.3853106796117
3550	238.24919902912615
3600	240.8120466019416
3650	243.53132427184465
3700	245.85166116504863
3750	248.87025048543694
3800	251.7774553398059
3850	254.66713398058243
3900	257.1757650485436
3950	259.3224553398058
4000	262.1280427184466
4050	264.91034368932037
4100	267.6097737864076
4150	269.7917126213592
4200	272.1486757281553
4250	274.89117572815525
4300	277.2085281553399
4350	279.9702339805824
4400	281.9148067961165
4450	284.6005388349514
4500	286.7165640776698
4550	289.42889611650486
4600	292.35448252427193
4650	295.1875689320388
4700	297.9260029126214
4750	300.15315436893206
4800	302.8318398058253
4850	304.7372543689321
4900	306.75380679611663
4950	308.79701456310676
5000	311.17040873786414
5050	314.16044466019434
5100	316.41968252427176
5150	318.80717475728153
5200	320.72436116504844
5250	323.28495242718435
5300	325.4724291262135
5350	328.42887572815533
5400	331.38641359223305
5450	333.7493436893203
5500	335.8376495145631
5550	338.35309029126216
5600	341.17433300970856
5650	343.71579805825235
5700	346.44583300970874
5750	349.1701223300971
5800	350.94652718446605
5850	353.54230097087384
5900	356.26897864077665
5950	358.8470932038836
6000	361.38521262135913
6050	363.2709029126213
6100	365.9913718446603
6150	368.89114077669916
6200	371.51966990291254
6250	374.05913106796123
6300	376.74598834951445
6350	379.2703184466018
6400	382.0207252427184
6450	384.77119223300974
6500	386.67123203883494
6550	389.2812805825243
6600	391.64315825242727
6650	394.3040941747574
6700	396.52724660194167
6750	398.3864582524273
6800	401.24468737864083
6850	401.7232213592233
6900	404.00196601941747
6950	405.92595533980585
7000	408.39977184466017
7050	409.9935912621358
7100	412.21199029126205
7150	414.1823601941747
7200	416.86241650485437
7250	419.67479223300967
7300	422.4839524271845
7350	424.06949126213584
7400	426.38398737864077
7450	427.40965631067957
7500	429.3863883495147
7550	431.6918019417476
7600	434.03822621359205
7650	435.64657766990297
7700	438.2657495145631
7750	440.4070844660191
7800	442.14322427184464
7850	444.46220000000005
7900	447.04760000000016
7950	448.7577844660192
8000	450.3432310679612
8050	452.5870009708739
8100	454.72790970873797
8150	456.33319514563124
8200	458.67088155339803
8250	460.6241718446604
8300	463.34030679611635
8350	465.76792815533963
8400	467.9485378640776
8450	468.1799854368932
8500	470.58974077669905
8550	472.8479213592232
8600	475.54220582524266
8650	478.2414815533979
8700	480.9394349514565
8750	483.22540388349523
8800	485.407591262136
8850	487.8036611650485
8900	490.48651553398065
8950	493.1735553398057
9000	495.4272893203884
9050	497.0714281553398
9100	499.0673048543688
9150	500.79784563106796
9200	502.5600233009711
9250	504.98130776699026
9300	506.92067669902906
9350	509.28798932038836
9400	511.6039524271843
9450	513.6623485436894
9500	516.0115310679613
9550	518.4131737864079
9600	521.0698427184467
9650	523.724709708738
9700	526.146149514563
9750	528.792427184466
9800	531.3027184466022
9850	533.5426223300972
9900	536.1892854368932
9950	538.4736330097089
