t	s(t)
50	132.20388349514562
100	192.85436893203882
150	251.19417475728156
200	307.36893203883494
250	363.31067961165047
300	418.5242718446602
350	472.5728155339806
400	526.7766990291262
450	580.7281553398059
500	633.6990291262136
550	687.6019417475728
600	740.7184466019418
650	793.8834951456311
700	846.2815533980582
750	898.5242718446602
800	950.5533980582525
850	1002.5436893203884
900	1054.4271844660195
950	1106.504854368932
1000	1158.116504854369
1050	1209.7864077669904
1100	1261.893203883495
1150	1313.4368932038835
1200	1365.1844660194174
1250	1416.7281553398059
1300	1468.621359223301
1350	1519.9611650485438
1400	1571.2038834951456
1450	1622.2038834951456
1500	1673.368932038835
1550	1724.388349514563
1600	1775.5825242718447
1650	1826.5339805825242
1700	1877.6796116504854
1750	1928.7766990291261
1800	1979.611650485437
1850	2030.4368932038835
1900	2081.378640776699
1950	2132.4174757281553
2000	2182.980582524272
2050	2233.9417475728155
2100	2284.6796116504856
2150	2335.5242718446602
2200	2386.368932038835
2250	2437.359223300971
2300	2487.8155339805826
2350	2538.621359223301
2400	2589.26213592233
2450	2640.0679611650485
2500	2690.660194174757
2550	2741.4951456310678
2600	2792.145631067961
2650	2842.5436893203882
2700	2892.9223300970875
2750	2943.4563106796118
2800	2993.78640776699
2850	3044.252427184466
2900	3094.9223300970875
2950	3145.4563106796118
3000	3195.9611650485435
3050	3246.5145631067962
3100	3296.9514563106795
3150	3347.4174757281553
3200	3397.7281553398057
3250	3448.0679611650485
3300	3498.4466019417478
3350	3548.766990291262
3400	3598.980582524272
3450	3649.223300970874
3500	3699.650485436893
3550	3750.0873786407765
3600	3800.5048543689322
3650	3850.7961165048546
3700	3901.0
3750	3951.349514563107
3800	4001.4660194174758
3850	4051.650485436893
3900	4101.9320388349515
3950	4152.378640776699
4000	4202.747572815534
4050	4253.0485436893205
4100	4303.174757281553
4150	4353.281553398058
4200	4403.660194174758
4250	4453.815533980583
4300	4504.194174757282
4350	4554.330097087379
4400	4604.563106796117
4450	4654.650485436893
4500	4704.961165048544
4550	4755.194174757282
4600	4805.165048543689
4650	4855.281553398058
4700	4905.378640776699
4750	4955.553398058252
4800	5005.640776699029
4850	5055.699029126214
4900	5105.9902912621355
4950	5156.300970873786
5000	5206.563106796117
5050	5256.466019417476
5100	5306.533980582524
5150	5356.689320388349
5200	5406.834951456311
5250	5457.0097087378645
5300	5507.126213592233
5350	5557.0873786407765
5400	5607.0291262135925
5450	5657.135922330097
5500	5707.320388349514
5550	5757.310679611651
5600	5807.310679611651
5650	5857.271844660194
5700	5907.330097087379
5750	5957.47572815534
5800	6007.650485436893
5850	6057.650485436893
5900	6107.660194174758
5950	6157.631067961165
6000	6207.679611650486
6050	6257.9320388349515
6100	6307.844660194175
6150	6357.728155339806
6200	6407.699029126214
6250	6457.601941747573
6300	6507.650485436893
6350	6557.669902912621
6400	6607.543689320389
6450	6657.533980582524
6500	6707.611650485437
6550	6757.592233009709
6600	6807.52427184466
6650	6857.504854368932
6700	6907.514563106796
6750	6957.563106796117
6800	7007.417475728155
6850	7057.543689320389
6900	7107.514563106796
6950	7157.514563106796
7000	7207.57281553398
7050	7257.514563106796
7100	7307.582524271845
7150	7357.660194174758
7200	7407.57281553398
7250	7457.47572815534
7300	7507.330097087379
7350	7557.339805825242
7400	7607.203883495145
7450	7657.21359223301
7500	7707.300970873786
7550	7757.320388349514
7600	7807.184466019417
7650	7857.194174757282
7700	7907.174757281553
7750	7957.097087378641
7800	8007.0
7850	8056.902912621359
7900	8106.873786407767
7950	8156.883495145631
8000	8207.04854368932
8050	8256.932038834952
8100	8306.883495145632
8150	8357.009708737864
8200	8406.902912621359
8250	8456.912621359223
8300	8506.728155339806
8350	8556.640776699029
8400	8606.621359223302
8450	8656.436893203883
8500	8706.349514563106
8550	8756.203883495145
8600	8806.04854368932
8650	8855.941747572815
8700	8905.844660194174
8750	8955.766990291262
8800	9005.660194174758
8850	9055.456310679612
8900	9105.203883495145
8950	9155.038834951456
9000	9205.019417475729
9050	9254.980582524271
9100	9305.029126213592
9150	9355.0
9200	9404.980582524271
9250	9454.95145631068
9300	9504.990291262136
9350	9554.844660194174
9400	9604.699029126214
9450	9654.553398058253
9500	9704.436893203883
9550	9754.281553398057
9600	9804.126213592233
9650	9853.990291262136
9700	9903.844660194174
9750	9953.621359223302
9800	10003.47572815534
9850	10053.31067961165
9900	10103.135922330097
9950	10152.970873786408
