t	b	lnt	lnb	linreg	 k=[-2.48639488], b=14.502839668629662
0	29596	0	10.295394496	14.5028396686	
1	69181	0.6931471806	11.1444815374	12.7794020648	
2	64024	1.0986122887	11.067013292	11.7712556943	
3	42104	1.3862943611	10.647898027	11.055964461	
4	27138	1.6094379124	10.2086902387	10.5011414766	
5	18841	1.7917594692	9.8437906253	10.0478180905	
6	13390	1.9459101491	9.5022634387	9.6645386287	
7	10307	2.0794415417	9.240578555	9.3325268572	
8	7752	2.1972245773	8.9557061536	9.0396717199	
9	6075	2.302585093	8.7119372682	8.7777038728	
10	4918	2.3978952728	8.5006572228	8.5407251293	
11	4038	2.4849066498	8.3035047989	8.3243804867	
12	3508	2.5649493575	8.1628013535	8.1253627078	
13	2907	2.6390573296	7.9748769006	7.9411010249	
14	2456	2.7080502011	7.8062892893	7.7695575022	
15	2152	2.7725887222	7.6741529213	7.6090892534	
16	1904	2.8332133441	7.5517122154	7.4583525039	
17	1725	2.8903717579	7.4529823295	7.3162341161	
18	1394	2.9444389792	7.2399325913	7.1818016538	
19	1231	2.9957322736	7.1155821262	7.054266269	
20	1161	3.0445224377	7.0570369817	6.9329546544	
21	1103	3.0910424534	7.0057890193	6.8172875255	
22	1016	3.1354942159	6.9236286281	6.7067628904	
23	896	3.1780538303	6.797940413	6.6009428829	
24	816	3.2188758249	6.704414355	6.4994432845	
25	761	3.258096538	6.6346333579	6.401925104	
26	750	3.295836866	6.6200732065	6.3080877456	
27	694	3.3322045102	6.5424719605	6.2176634212	
28	679	3.36729583	6.5206211276	6.1304125431	
29	551	3.4011973817	6.3117348092	6.0461198984	
30	514	3.4339872045	6.2422232655	5.9645914507	
31	572	3.4657359028	6.3491389914	5.8856516496	
32	530	3.4965075615	6.2728770065	5.8091411549	
33	474	3.5263605246	6.1612073217	5.7349149001	
34	374	3.5553480615	5.9242557974	5.6628404367	
35	318	3.5835189385	5.7620513828	5.5927965123	
36	308	3.6109179126	5.730099783	5.5246718431	
37	319	3.6375861597	5.7651911028	5.45836405	
38	257	3.6635616461	5.5490760849	5.3937787334	
39	307	3.6888794541	5.7268477476	5.3308286652	
40	321	3.7135720667	5.7714411231	5.2694330796	
41	212	3.7376696183	5.3565862747	5.2095170506	
42	193	3.7612001157	5.2626901889	5.1510109422	
43	189	3.7841896339	5.2417470151	5.0938499217	
44	186	3.8066624898	5.2257466737	5.0379735279	
45	257	3.8286413965	5.5490760849	4.9833252867	
46	315	3.8501476017	5.7525726388	4.929852368	
47	269	3.8712010109	5.5947113796	4.8775052791	
48	225	3.8918202981	5.4161004022	4.8262375889	
49	242	3.9120230054	5.4889377262	4.7760056807	
50	269	3.9318256327	5.5947113796	4.7267685295	
51	222	3.9512437186	5.4026773819	4.6784875002	
52	225	3.9702919136	5.4161004022	4.6311261657	
53	135	3.9889840466	4.9052747784	4.5846501418	
54	185	4.0073331852	5.2203558251	4.5390269373	
55	174	4.0253516907	5.1590552992	4.4942258174	
56	112	4.0430512678	4.7184988713	4.4502176794	
57	69	4.0604430105	4.2341065046	4.4069749393	
58	72	4.0775374439	4.276666119	4.3644714276	
59	121	4.0943445622	4.7957905456	4.3226822946	
60	81	4.1108738642	4.3944491547	4.2815839228	
61	50	4.127134385	3.9120230054	4.2411538469	
62	159	4.1431347264	5.0689042022	4.20137068	
63	110	4.1588830834	4.7004803658	4.1622140458	
64	71	4.1743872699	4.262679877	4.1236645158	
65	42	4.189654742	3.7376696183	4.0857035512	
66	24	4.2046926194	3.1780538303	4.0483134498	
67	35	4.2195077052	3.5553480615	4.0114772963	
68	22	4.2341065046	3.0910424534	3.9751789161	
69	13	4.248495242	2.5649493575	3.9394028329	
70	83	4.262679877	4.4188406078	3.904134229	
71	44	4.276666119	3.7841896339	3.8693589085	
72	38	4.2904594411	3.6375861597	3.8350632629	
73	79	4.3040650932	4.3694478525	3.8012342393	
74	42	4.3174881135	3.7376696183	3.7678593102	
75	32	4.3307333403	3.4657359028	3.7349264462	
76	32	4.3438054219	3.4657359028	3.7024240894	
77	24	4.3567088267	3.1780538303	3.6703411296	
78	71	4.3694478525	4.262679877	3.6386668811	
79	57	4.3820266347	4.0430512678	3.6073910614	
80	20	4.3944491547	2.9957322736	3.5765037712	
81	59	4.4067192473	4.0775374439	3.5459954758	
