t	b	lnt	lnb	linreg	 k=[-2.73171309]	 b=11.861914855354382
0	2112	0	7.655390644826152	11.861914855354382		
1	7451	0.6931471806	8.916103530553727	9.968435630236938		
2	8619	1.0986122886681098	9.061724347647399	8.86082128764868		
3	5687	1.3862943611198906	8.645938147306799	8.074956405119494		
4	3612	1.6094379124341003	8.192016914536875	7.465392245468636		
5	2465	1.791759469228055	7.80994708647679	6.967342062531237		
6	1709	1.9459101490553132	7.443663683115591	6.546246632907107		
7	1275	2.0794415416798357	7.150701457592526	6.18147718000205		
8	995	2.1972245773362196	6.902742737158593	5.8597277199429785		
9	746	2.302585092994046	6.61472560020376	5.571913020351191		
10	626	2.3978952727983707	6.439350371100098	5.311552954750247		
11	479	2.4849066497880004	6.171700597410915	5.073862837413793		
12	395	2.5649493574615367	5.978885764901122	4.855209125254773		
13	360	2.6390573296152584	5.886104031450156	4.652767407789663		
14	312	2.70805020110221	5.7430031878094825	4.464298677762935		
15	179	2.772588722239781	5.187385805840755	4.287997954884606		
16	146	2.833213344056216	4.983606621708336	4.122388882007343		
17	126	2.8903717578961645	4.836281906951478	3.9662484948255354		
18	115	2.9444389791664403	4.74493212836325	3.8185523588441512		
19	73	2.995732273553991	4.290459441148391	3.6784337952337474		
20	50	3.044522437723423	3.912023005428146	3.545153065201406		
21	28	3.091042453358316	3.332204510175204	3.418073729632802		
22	35	3.1354942159291497	3.5553480614894135	3.2966442680287997		
23	30	3.1780538303479458	3.4011973816621555	3.180383612296348		
24	15	3.2188758248682006	2.70805020110221	3.0688696355828906		
25	11	3.258096538021482	2.3978952727983707	2.9617299001373283		
26	19	3.295836866004329	2.9444389791664403	2.8586341522372773		
27	6	3.332204510175204	1.791759469228055	2.7592881826722184		
28	6	3.367295829986474	1.791759469228055	2.663428765064957		
29	7	3.4011973816621555	1.9459101490553132	2.570819452645491		
30	3	3.4339872044851463	1.0986122886681098	2.481247064483341		
31	1	3.4657359027997265	0.0	2.394518729767162		
32	1	3.4965075614664802	0.0	2.3104593870445456		
33	3	3.5263605246	1.0986122886681098	2.2289096568898987		
34	2	3.5553480615	0.6931471805599453	2.1497240163		
35	0	3.5835189385	-999	2.0727692629		
80	0	4.3944491547	-999	-0.1424594238		
