t	b	lnt	lnb	linreg	 k=[-2.09244609], b=10.795412881634748
0	2272	0	7.7284157798	10.7954128816	
1	8220	0.6931471806	9.0143254881	9.3450397744	
2	11926	1.0986122887	9.3864761697	8.4966258946	
3	9278	1.3862943611	9.1354012853	7.8946666671	
4	6252	1.6094379124	8.7406566915	7.4277508158	
5	4109	1.7917594692	8.3209349689	7.0462527873	
6	2869	1.9459101491	7.961718816	6.7237008001	
7	2045	2.0794415417	7.6231530685	6.4442935598	
8	1270	2.1972245773	7.1467721795	6.1978389075	
9	869	2.302585093	6.7673431253	5.9773777085	
10	572	2.3978952728	6.3491389914	5.7779462955	
11	322	2.4849066498	5.7745515455	5.59587968	
12	181	2.5649493575	5.1984970313	5.4283946294	
13	123	2.6390573296	4.8121843554	5.2733276928	
14	78	2.7080502011	4.3567088267	5.1289638287	
15	44	2.7725887222	3.7841896339	4.9939204525	
16	33	2.8332133441	3.4965075615	4.8670666997	
17	13	2.8903717579	2.5649493575	4.7474658002	
180	-999	5.1929568509	-999	-0.0705693765	
