t	s(t)
1000	104.2741935483871
1050	107.01612903225806
1100	110.19354838709677
1150	113.45161290322581
1200	116.8225806451613
1250	119.2741935483871
1300	121.96774193548387
1350	124.74193548387096
1400	127.38709677419355
1450	130.17741935483872
1500	132.98387096774192
1550	135.75806451612902
1600	138.19354838709677
1650	140.6451612903226
1700	143.03225806451613
1750	145.3709677419355
1800	147.56451612903226
1850	150.11290322580646
1900	152.6451612903226
1950	155.38709677419354
2000	158.03225806451613
2050	160.46774193548387
2100	162.93548387096774
2150	165.24193548387098
2200	167.2258064516129
2250	169.32258064516128
2300	171.7741935483871
2350	174.69354838709677
2400	176.8709677419355
2450	178.8548387096774
2500	180.5
2550	182.6290322580645
2600	184.8548387096774
2650	186.96774193548387
2700	188.8548387096774
2750	191.1290322580645
2800	193.19354838709677
2850	195.32258064516128
2900	197.46774193548387
2950	199.41935483870967
3000	201.6290322580645
3050	203.48387096774192
3100	205.4516129032258
3150	207.30645161290323
3200	209.25806451612902
3250	210.69354838709677
3300	212.75806451612902
3350	214.53225806451613
3400	216.93548387096774
3450	218.93548387096774
3500	220.7741935483871
3550	222.56451612903226
3600	224.33870967741936
3650	226.1290322580645
3700	227.90322580645162
3750	229.59677419354838
3800	231.20967741935485
3850	232.67741935483872
3900	234.8709677419355
3950	236.38709677419354
4000	238.5
4050	240.38709677419354
4100	242.25806451612902
4150	243.83870967741936
4200	245.67741935483872
4250	247.29032258064515
4300	249.1451612903226
4350	251.17741935483872
4400	252.80645161290323
4450	254.40322580645162
4500	255.96774193548387
4550	258.11290322580646
4600	259.5967741935484
4650	261.7903225806452
4700	263.7258064516129
4750	265.16129032258067
4800	266.6774193548387
4850	268.38709677419354
4900	269.80645161290323
4950	271.3225806451613
5000	272.93548387096774
5050	274.43548387096774
5100	275.85483870967744
5150	277.83870967741933
5200	279.35483870967744
5250	280.61290322580646
5300	282.0
5350	283.4516129032258
5400	285.2096774193548
5450	286.7903225806452
5500	288.5483870967742
5550	290.11290322580646
5600	291.83870967741933
5650	293.53225806451616
5700	294.9516129032258
5750	296.7096774193548
5800	298.5967741935484
5850	300.5
5900	301.9516129032258
5950	303.96774193548384
6000	305.758064516129
6050	307.03225806451616
6100	308.64516129032256
6150	309.9193548387097
6200	311.3709677419355
6250	313.0483870967742
6300	314.5806451612903
6350	315.83870967741933
6400	317.66129032258067
6450	319.16129032258067
6500	320.69354838709677
6550	322.0
6600	323.9516129032258
6650	325.46774193548384
6700	327.19354838709677
6750	328.5483870967742
6800	330.2258064516129
6850	331.8709677419355
6900	333.2741935483871
6950	335.5
7000	337.2096774193548
7050	338.5806451612903
7100	340.1290322580645
7150	341.4193548387097
7200	342.6290322580645
7250	343.85483870967744
7300	345.258064516129
7350	346.758064516129
7400	348.11290322580646
7450	349.5483870967742
7500	350.9516129032258
7550	352.16129032258067
7600	353.30645161290323
7650	354.9032258064516
7700	356.46774193548384
7750	358.03225806451616
7800	359.5967741935484
7850	360.8225806451613
7900	362.33870967741933
7950	363.96774193548384
8000	365.4193548387097
8050	366.88709677419354
8100	368.56451612903226
8150	370.0483870967742
8200	371.51612903225805
8250	372.7903225806452
8300	373.7741935483871
8350	375.241935483871
8400	376.6290322580645
8450	377.8225806451613
8500	379.43548387096774
8550	380.5
8600	381.7903225806452
8650	383.4032258064516
8700	384.758064516129
8750	385.93548387096774
8800	387.0967741935484
8850	388.5483870967742
8900	389.83870967741933
8950	391.80645161290323
9000	393.2258064516129
9050	394.3709677419355
9100	396.0483870967742
9150	397.5483870967742
9200	398.8225806451613
9250	400.3225806451613
9300	401.53225806451616
9350	402.93548387096774
9400	404.0967741935484
9450	405.1290322580645
9500	406.30645161290323
9550	407.53225806451616
9600	408.7741935483871
9650	410.30645161290323
9700	411.5967741935484
9750	412.8709677419355
9800	413.85483870967744
9850	414.96774193548384
9900	416.3709677419355
9950	417.43548387096774
