t	s(t)
1000	104.85
1050	107.95
1100	111.04
1150	113.79
1200	116.64
1250	119.6
1300	122.35
1350	124.96
1400	127.72
1450	130.62
1500	133.0
1550	135.69
1600	138.22
1650	140.74
1700	143.28
1750	146.14
1800	148.69
1850	151.01
1900	153.27
1950	155.9
2000	158.42
2050	161.03
2100	163.34
2150	165.7
2200	167.76
2250	170.18
2300	172.04
2350	174.0
2400	176.25
2450	178.36
2500	180.96
2550	183.13
2600	185.52
2650	187.65
2700	189.58
2750	191.75
2800	193.77
2850	195.63
2900	197.71
2950	200.08
3000	201.91
3050	203.92
3100	205.96
3150	208.0
3200	209.87
3250	211.83
3300	214.11
3350	216.0
3400	218.03
3450	219.85
3500	221.75
3550	223.47
3600	225.49
3650	227.39
3700	229.16
3750	230.8
3800	232.52
3850	234.16
3900	235.91
3950	237.8
4000	239.7
4050	241.41
4100	243.25
4150	245.07
4200	246.75
4250	248.13
4300	249.7
4350	251.32
4400	252.83
4450	254.55
4500	256.07
4550	257.89
4600	259.76
4650	261.17
4700	262.87
4750	264.5
4800	266.12
4850	267.78
4900	269.67
4950	271.4
5000	273.12
5050	274.66
5100	276.08
5150	277.52
5200	279.09
5250	280.73
5300	282.29
5350	283.86
5400	285.41
5450	286.74
5500	288.3
5550	289.85
5600	291.33
5650	292.81
5700	294.24
5750	295.77
5800	297.24
5850	298.58
5900	299.99
5950	301.32
6000	302.91
6050	304.52
6100	306.37
6150	307.9
6200	309.41
6250	311.05
6300	312.61
6350	313.76
6400	315.17
6450	316.56
6500	317.98
6550	319.49
6600	320.96
6650	322.6
6700	324.08
6750	325.68
6800	326.9
6850	328.16
6900	329.63
6950	331.09
7000	332.44
7050	333.64
7100	335.09
7150	336.79
7200	338.27
7250	339.48
7300	341.01
7350	342.43
7400	343.86
7450	345.38
7500	346.7
7550	348.11
7600	349.18
7650	350.71
7700	351.76
7750	352.95
7800	354.31
7850	355.75
7900	357.36
7950	358.38
8000	359.76
8050	361.21
8100	362.52
8150	363.83
8200	365.12
8250	366.45
8300	367.91
8350	369.01
8400	370.38
8450	371.42
8500	372.7
8550	374.21
8600	375.4
8650	376.9
8700	378.3
8750	379.51
8800	380.83
8850	381.97
8900	383.15
8950	384.41
9000	385.74
9050	386.86
9100	388.16
9150	389.47
9200	390.97
9250	392.45
9300	393.47
9350	394.69
9400	395.96
9450	397.1
9500	398.22
9550	399.58
9600	400.84
9650	402.03
9700	402.98
9750	404.22
9800	405.56
9850	406.89
9900	408.21
9950	409.48
10000	410.43
10050	411.54
10100	412.79
10150	414.02
10200	415.05
10250	416.37
10300	417.43
10350	418.69
10400	420.09
10450	421.24
10500	422.36
10550	423.36
10600	424.18
10650	425.51
10700	426.51
10750	427.65
10800	428.65
10850	429.78
10900	430.97
10950	431.97
11000	433.02
11050	434.34
11100	435.39
11150	436.43
11200	437.72
11250	438.8
11300	440.09
11350	441.35
11400	442.76
11450	443.8
11500	444.83
11550	445.95
11600	447.2
11650	448.3
11700	449.67
11750	450.97
11800	452.23
11850	453.47
11900	454.58
11950	455.72
12000	456.94
12050	458.01
12100	458.96
12150	460.08
12200	461.07
12250	462.39
12300	463.54
12350	464.44
12400	465.55
12450	466.55
12500	467.66
12550	468.75
12600	469.75
12650	470.71
12700	471.66
12750	472.5
12800	473.57
12850	474.71
12900	475.58
12950	476.47
13000	477.76
13050	479.02
13100	480.28
13150	481.41
13200	482.25
13250	483.2
13300	484.43
13350	485.41
13400	486.45
13450	487.6
13500	488.6
13550	489.6
13600	490.61
13650	491.48
13700	492.44
13750	493.6
13800	494.69
13850	495.6
13900	496.79
13950	498.08
14000	499.25
14050	500.51
14100	501.51
14150	502.56
14200	503.61
14250	504.57
14300	505.63
14350	506.84
14400	507.66
14450	508.73
14500	509.73
14550	510.74
14600	511.59
14650	512.48
14700	513.61
14750	514.64
14800	515.86
14850	516.91
14900	517.84
14950	518.87
15000	519.73
15050	520.62
15100	521.89
15150	523.07
15200	524.1
15250	525.0
15300	525.86
15350	527.16
15400	527.94
15450	528.79
15500	529.81
15550	530.77
15600	531.72
15650	532.52
15700	533.62
15750	534.51
15800	535.59
15850	536.49
15900	537.54
15950	538.41
16000	539.39
16050	540.35
16100	541.06
16150	542.19
16200	542.97
16250	543.72
16300	544.76
16350	545.75
16400	546.71
16450	547.64
16500	548.45
16550	549.43
16600	550.36
16650	551.23
16700	552.53
16750	553.54
16800	554.65
16850	555.62
16900	556.61
16950	557.56
17000	558.75
17050	559.75
17100	560.62
17150	561.43
17200	562.41
17250	563.42
17300	564.37
17350	565.35
17400	566.34
17450	567.34
17500	568.1
17550	568.92
17600	569.67
17650	570.59
17700	571.41
17750	572.25
17800	573.15
17850	574.08
17900	575.12
17950	576.27
18000	577.19
18050	578.34
18100	579.11
18150	579.96
18200	581.06
18250	581.92
18300	583.03
18350	583.9
18400	584.84
18450	585.96
18500	586.83
18550	587.72
18600	588.66
18650	589.76
18700	590.81
18750	591.57
18800	592.41
18850	593.32
18900	594.27
18950	594.93
19000	595.99
19050	596.65
19100	597.66
19150	598.42
19200	599.28
19250	600.14
19300	601.13
19350	601.9
19400	602.53
19450	603.48
19500	604.48
19550	605.41
19600	606.51
19650	607.42
19700	608.34
19750	609.15
19800	610.07
19850	610.85
19900	611.7
19950	612.67
20000	613.48
20050	614.25
20100	615.01
20150	615.92
20200	616.97
20250	617.79
20300	618.62
20350	619.58
20400	620.51
20450	621.53
20500	622.31
20550	623.39
20600	624.55
20650	625.47
20700	626.2
20750	627.0
20800	628.15
20850	628.8
20900	629.7
20950	630.57
21000	631.39
21050	632.24
21100	633.27
21150	634.38
21200	635.22
21250	636.01
21300	636.88
21350	637.4
21400	638.2
21450	638.81
21500	639.56
21550	640.47
21600	641.35
21650	642.18
21700	643.02
