t	s(t)
1000	107.78217821782178
1050	111.0990099009901
1100	114.1980198019802
1150	117.29702970297029
1200	120.3069306930693
1250	123.0990099009901
1300	126.06930693069307
1350	128.79207920792078
1400	131.47524752475246
1450	134.68316831683168
1500	137.24752475247524
1550	139.92079207920793
1600	142.74257425742573
1650	145.40594059405942
1700	147.46534653465346
1750	150.34653465346534
1800	153.06930693069307
1850	155.56435643564356
1900	158.02970297029702
1950	160.21782178217822
2000	162.40594059405942
2050	164.79207920792078
2100	167.1881188118812
2150	169.69306930693068
2200	172.21782178217822
2250	174.3861386138614
2300	177.12871287128712
2350	179.47524752475246
2400	181.88118811881188
2450	183.92079207920793
2500	186.12871287128712
2550	188.43564356435644
2600	190.64356435643563
2650	192.72277227722773
2700	195.21782178217822
2750	197.1980198019802
2800	199.11881188118812
2850	200.84158415841586
2900	202.53465346534654
2950	204.40594059405942
3000	206.67326732673268
3050	208.53465346534654
3100	210.5148514851485
3150	212.65346534653466
3200	214.6138613861386
3250	216.69306930693068
3300	218.6138613861386
3350	220.34653465346534
3400	222.43564356435644
3450	224.7128712871287
3500	226.35643564356437
3550	228.7128712871287
3600	230.73267326732673
3650	232.75247524752476
3700	235.22772277227722
3750	236.7128712871287
3800	238.73267326732673
3850	240.58415841584159
3900	242.4851485148515
3950	244.15841584158414
4000	246.03960396039605
4050	247.95049504950495
4100	250.03960396039605
4150	251.8910891089109
4200	253.58415841584159
4250	255.33663366336634
4300	257.38613861386136
4350	259.3960396039604
4400	261.0495049504951
4450	262.7227722772277
4500	264.5247524752475
4550	266.43564356435644
4600	267.9306930693069
4650	269.7227722772277
4700	271.8910891089109
4750	273.63366336633663
4800	275.53465346534654
4850	277.33663366336634
4900	278.7029702970297
4950	280.46534653465346
5000	282.2277227722772
5050	284.2079207920792
5100	285.8910891089109
5150	287.9306930693069
5200	289.7821782178218
5250	291.7029702970297
5300	293.6039603960396
5350	295.3762376237624
5400	297.1188118811881
5450	298.8217821782178
5500	300.2277227722772
5550	301.94059405940595
5600	303.8217821782178
5650	305.48514851485146
5700	306.91089108910893
5750	308.28712871287127
5800	309.64356435643566
5850	311.36633663366337
5900	313.0792079207921
5950	314.8019801980198
6000	316.58415841584156
6050	318.03960396039605
6100	319.7920792079208
6150	321.25742574257424
6200	322.6930693069307
6250	324.5049504950495
6300	326.0
6350	327.5940594059406
6400	329.03960396039605
6450	330.6039603960396
6500	331.9009900990099
6550	333.019801980198
6600	334.4257425742574
6650	336.0792079207921
6700	337.34653465346537
6750	338.65346534653463
6800	340.16831683168317
6850	341.58415841584156
6900	343.05940594059405
6950	344.5940594059406
7000	346.4950495049505
7050	347.73267326732673
7100	349.1287128712871
7150	350.43564356435644
7200	351.74257425742576
7250	353.2079207920792
7300	354.58415841584156
7350	355.94059405940595
7400	357.23762376237624
7450	358.9207920792079
7500	360.35643564356434
7550	361.7227722772277
7600	363.4059405940594
7650	364.56435643564356
7700	365.76237623762376
7750	367.4752475247525
7800	368.9306930693069
7850	370.26732673267327
7900	371.74257425742576
7950	372.8514851485148
8000	374.2970297029703
8050	375.64356435643566
8100	376.970297029703
8150	378.44554455445547
8200	379.7524752475247
8250	381.15841584158414
8300	382.66336633663366
8350	383.7722772277228
8400	385.2970297029703
8450	386.8811881188119
8500	388.2079207920792
8550	389.65346534653463
8600	391.2277227722772
8650	392.61386138613864
8700	394.13861386138615
8750	395.3762376237624
8800	396.8217821782178
8850	398.18811881188117
8900	399.41584158415844
8950	400.65346534653463
9000	401.74257425742576
9050	403.08910891089107
9100	404.4950495049505
9150	405.9504950495049
9200	407.2079207920792
9250	408.5049504950495
9300	409.990099009901
9350	411.4752475247525
9400	412.94059405940595
9450	414.18811881188117
9500	415.26732673267327
9550	416.7029702970297
9600	417.73267326732673
9650	418.9504950495049
9700	420.2970297029703
9750	421.38613861386136
9800	422.63366336633663
9850	423.84158415841586
9900	425.1188118811881
9950	426.7227722772277
