t	s(t)
50	157.34
100	259.16
150	340.86
200	410.41
250	473.25
300	531.83
350	585.31
400	636.38
450	688.33
500	736.89
550	783.35
600	828.7
650	871.76
700	911.83
750	952.92
800	991.15
850	1030.81
900	1068.44
950	1106.85
1000	1143.51
1050	1178.28
1100	1213.31
1150	1246.64
1200	1280.68
1250	1314.56
1300	1347.84
1350	1379.08
1400	1409.78
1450	1440.65
1500	1471.31
1550	1500.91
1600	1531.2
1650	1560.81
1700	1589.55
1750	1619.36
1800	1647.44
1850	1673.84
1900	1701.99
1950	1729.83
2000	1757.94
2050	1785.84
2100	1813.14
2150	1839.11
2200	1865.42
2250	1891.53
2300	1916.65
2350	1942.07
2400	1966.24
2450	1992.71
2500	2017.26
2550	2041.5
2600	2066.87
2650	2091.58
2700	2113.68
2750	2137.84
2800	2161.2
2850	2183.82
2900	2207.85
2950	2231.58
3000	2255.45
3050	2278.08
3100	2299.96
3150	2322.71
3200	2344.63
3250	2368.4
3300	2391.05
3350	2413.31
3400	2435.11
3450	2456.51
3500	2477.66
3550	2500.38
3600	2522.06
3650	2543.62
3700	2563.82
3750	2585.04
3800	2606.17
3850	2627.17
3900	2647.39
3950	2667.67
4000	2687.8
4050	2708.11
4100	2727.82
4150	2747.08
4200	2766.87
4250	2786.63
4300	2807.34
4350	2827.02
4400	2846.92
4450	2865.94
4500	2886.14
4550	2905.71
4600	2924.47
4650	2944.52
4700	2963.57
4750	2981.64
4800	3000.99
4850	3019.41
4900	3038.15
4950	3057.05
5000	3075.04
5050	3093.37
5100	3112.12
5150	3131.13
5200	3147.85
5250	3166.13
5300	3183.94
5350	3201.25
5400	3218.87
5450	3236.96
5500	3254.7
5550	3272.2
5600	3290.23
5650	3307.78
5700	3326.2
5750	3344.31
5800	3362.82
5850	3381.19
5900	3397.92
5950	3414.49
6000	3431.78
6050	3448.27
6100	3465.74
6150	3482.93
6200	3499.56
6250	3516.34
6300	3533.79
6350	3551.19
6400	3568.09
6450	3584.1
6500	3600.04
6550	3617.09
6600	3633.78
6650	3648.64
6700	3665.16
6750	3681.31
6800	3696.82
6850	3713.13
6900	3728.96
6950	3744.77
7000	3761.17
7050	3777.79
7100	3793.92
7150	3810.59
7200	3826.22
7250	3841.34
7300	3857.5
7350	3873.58
7400	3890.27
7450	3905.85
7500	3921.23
7550	3936.04
7600	3951.75
7650	3967.79
7700	3982.49
7750	3998.8
7800	4013.43
7850	4029.36
7900	4044.87
7950	4060.19
8000	4074.95
8050	4090.69
8100	4105.83
8150	4121.35
8200	4136.37
8250	4151.94
8300	4166.97
8350	4183.57
8400	4198.69
8450	4214.89
8500	4230.01
8550	4244.7
8600	4259.64
8650	4273.89
8700	4288.0
8750	4303.23
8800	4318.52
8850	4333.43
8900	4348.07
8950	4361.84
9000	4375.64
9050	4390.25
9100	4405.63
9150	4420.11
9200	4433.66
9250	4448.04
9300	4462.95
9350	4476.89
9400	4491.83
9450	4505.77
9500	4519.52
9550	4533.6
9600	4547.59
9650	4561.6
9700	4576.36
9750	4589.97
9800	4604.11
9850	4618.68
9900	4632.9
9950	4646.32
10000	4660.75
10050	4674.06
10100	4687.66
10150	4701.41
10200	4715.95
10250	4730.09
10300	4743.68
10350	4758.51
10400	4772.22
10450	4786.01
10500	4800.42
10550	4814.91
10600	4827.99
10650	4840.1
10700	4853.55
10750	4866.5
10800	4878.59
10850	4891.89
10900	4904.66
10950	4918.18
11000	4931.2
11050	4943.75
11100	4957.04
11150	4970.01
11200	4982.82
11250	4994.62
11300	5007.63
11350	5020.65
11400	5034.03
11450	5047.07
11500	5059.68
11550	5072.95
11600	5086.07
11650	5099.12
11700	5112.31
11750	5125.44
11800	5138.28
11850	5150.91
11900	5162.99
11950	5174.43
12000	5187.2
12050	5199.65
12100	5212.13
12150	5225.54
12200	5237.61
12250	5250.42
12300	5262.79
12350	5275.98
12400	5288.13
12450	5300.47
12500	5311.91
12550	5324.07
12600	5336.45
12650	5347.26
12700	5359.09
12750	5371.69
12800	5384.23
12850	5395.78
12900	5409.82
12950	5421.88
13000	5433.6
13050	5445.98
13100	5458.19
13150	5470.9
13200	5482.84
13250	5495.39
13300	5506.07
13350	5519.13
13400	5531.52
13450	5543.78
13500	5556.59
13550	5569.44
13600	5581.86
13650	5593.76
13700	5605.96
13750	5618.35
13800	5630.12
13850	5642.43
13900	5655.39
13950	5666.95
14000	5678.47
14050	5690.95
14100	5702.42
14150	5714.27
14200	5726.66
14250	5737.39
14300	5749.22
14350	5761.07
14400	5772.93
14450	5785.33
14500	5797.22
14550	5809.25
14600	5822.5
14650	5834.59
14700	5846.91
14750	5859.13
14800	5871.44
14850	5883.88
14900	5895.71
14950	5906.8
15000	5919.15
15050	5931.54
15100	5941.95
15150	5953.73
15200	5966.44
15250	5977.61
15300	5989.74
15350	6001.31
15400	6013.88
15450	6025.21
15500	6036.84
15550	6048.54
15600	6059.74
15650	6070.56
15700	6081.69
15750	6093.22
15800	6105.0
15850	6116.94
15900	6127.78
15950	6139.57
16000	6151.97
16050	6163.59
16100	6175.45
16150	6186.36
16200	6198.49
16250	6209.62
16300	6221.86
16350	6233.05
16400	6244.3
16450	6254.81
16500	6267.03
16550	6277.73
16600	6289.62
16650	6300.87
16700	6312.0
16750	6323.01
16800	6334.27
16850	6345.61
16900	6356.59
16950	6368.29
17000	6378.73
17050	6389.95
17100	6401.0
17150	6412.1
17200	6423.38
